id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is asking about the location and tracking of a recent order.,True,baseline,v1,,
t001,"Hey, I placed an order for a Ninja blender (order #A12345) a week ago and the tracking still says “processing.” What's the deal? I'm really annoyed.",order_status,order_status,The customer is asking about the current status and tracking of their recent order.,True,baseline,v1,,
t002,"Good morning, could you please check the status of my recent purchase? I ordered a KitchenAid mixer, order number 987654, five days ago and the tracking hasn't changed. Thank you for your assistance.",order_status,order_status,The customer is asking for an update on the delivery status of their recent order.,True,baseline,v1,,
t003,Order #B4567 – blender. Tracking stuck. Where's it?,order_status,order_status,The ticket asks about the tracking status of an order.,True,baseline,v1,,
t004,I never received my order and I want my money back.,order_status,refund_request,The customer says they never received the order and wants their money back.,False,baseline,v1,,
t005,"Hey, this is Alex. Order #8742 for the wireless headphones never showed up, and I'm really upset. I need a full refund ASAP.",order_status,refund_request,The customer reports a missing order and explicitly requests a full refund.,False,baseline,v1,,
t006,"Good morning, I'm Maya. My recent purchase (order 3159) of the ceramic coffee mug hasn't arrived yet. Could you please process a refund at your earliest convenience? Thank you.",order_status,refund_request,Customer requests a refund for a missing order,False,baseline,v1,,
t007,Order 6021 missing. No package delivered. Refund needed.,order_status,refund_request,The customer reports a missing order and explicitly requests a refund.,False,baseline,v1,,
t008,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,The customer reports a delivered order that cannot be found and seeks help locating it.,True,baseline,v1,,
t009,"I’m really annoyed—my tracking says the package was delivered on Tuesday, yet there’s nothing here, not at my doorstep, the neighbor’s house, or the building’s mailroom. What should I do now?",order_status,order_status,The customer reports a missing delivery despite tracking indicating it was delivered.,True,baseline,v1,,
t010,"Hello, I hope you can help. According to the delivery status, my order arrived last Tuesday, but I can’t locate it anywhere—neither at my door, nor with my neighbor, nor in the mailroom. Could you please advise on the next steps?",order_status,order_status,"Customer reports delivery marked as arrived but cannot find the package, seeking next steps.",True,baseline,v1,,
t011,"Delivery shows ‘delivered’ on Tuesday, but the item isn’t at my place, my neighbor’s, or the mailroom. Need a solution.",order_status,order_status,"Customer reports delivery marked as delivered but item not received, seeking resolution.",True,baseline,v1,,
