id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,model,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,Customer asks for the location of their order and tracking update,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t001,"Hey, I placed an order for a Ninja blender (order #A12345) a week ago and the tracking still says “processing.” What's the deal? I'm really annoyed.",order_status,order_status,Customer asks about the current status and tracking of their recent order,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t002,"Good morning, could you please check the status of my recent purchase? I ordered a KitchenAid mixer, order number 987654, five days ago and the tracking hasn't changed. Thank you for your assistance.",order_status,order_status,Customer asks to check the status and tracking of a recent order,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t003,Order #B4567 – blender. Tracking stuck. Where's it?,order_status,order_status,Customer asks where the order is and about tracking,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t004,I never received my order and I want my money back.,order_status,refund_request,Customer says they never received the order and explicitly wants their money back,False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t005,"Hey, this is Alex. Order #8742 for the wireless headphones never showed up, and I'm really upset. I need a full refund ASAP.",order_status,refund_request,Customer explicitly requests a full refund for the missing order,False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t006,"Good morning, I'm Maya. My recent purchase (order 3159) of the ceramic coffee mug hasn't arrived yet. Could you please process a refund at your earliest convenience? Thank you.",order_status,refund_request,Customer explicitly requests a refund for the missing order,False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t007,Order 6021 missing. No package delivered. Refund needed.,order_status,refund_request,Customer explicitly requests a refund for the missing order,False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t008,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,Customer reports missing delivery despite status showing delivered,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t009,"I’m really annoyed—my tracking says the package was delivered on Tuesday, yet there’s nothing here, not at my doorstep, the neighbor’s house, or the building’s mailroom. What should I do now?",order_status,order_status,Customer reports missing delivery despite tracking indicating it was delivered.,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t010,"Hello, I hope you can help. According to the delivery status, my order arrived last Tuesday, but I can’t locate it anywhere—neither at my door, nor with my neighbor, nor in the mailroom. Could you please advise on the next steps?",order_status,order_status,"Customer reports order marked delivered but cannot find it, seeking next steps.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t011,"Delivery shows ‘delivered’ on Tuesday, but the item isn’t at my place, my neighbor’s, or the mailroom. Need a solution.",order_status,order_status,"Customer reports delivery marked as delivered but item not received, seeking resolution",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t012,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,Customer is asking about delayed delivery and tracking,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t013,I was promised 2‑day delivery but it's been over a week—nine days now. This is unacceptable!,order_status,order_status,Customer is complaining about delayed delivery and wants status update,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t014,"Hey there, I ordered the gadget (order #A12345) with 2‑day shipping, yet it's been nine days and still no sign. Could you please check?",order_status,order_status,Customer asks to check delayed delivery of their order,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t015,2‑day shipping? It's been 9 days. Fix it.,order_status,order_status,Customer asks about delayed 2‑day shipping and wants it fixed,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t016,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,Customer reports tracking link not working and asks about order status,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t017,"Hey, I’m really annoyed—every time I click the tracking link in the email it just keeps loading and never shows anything. This is for order #88421, can you fix it ASAP?",order_status,order_status,Customer reports tracking link not loading and asks for help locating the order,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t018,"Hello, I hope you can help me. The tracking link included in the confirmation email for my recent purchase (order #99234, a set of wireless earbuds) seems to be stuck on a loading screen and never resolves. Could you please provide an updated link or status? Thank you.",order_status,order_status,Customer asks for updated tracking link and status of their order,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t019,The tracking URL won’t load—just spins. Order #77568.,order_status,order_status,Customer reports tracking link not loading and asks about order status,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t020,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,Customer explicitly wants to return the item and get money back,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t021,"Hey, this is Alex (order #A12345). I’m pretty annoyed – I bought those Bluetooth headphones a week ago, never opened them, and I want a full refund ASAP.",refund_request,refund_request,The customer explicitly requests a full refund for the purchase.,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t022,"Good afternoon, my name is Priya. I purchased the over‑ear headphones under order 987654 on September 1st. They remain sealed, and I would like to return them for a refund, please.",refund_request,refund_request,Customer explicitly requests to return the sealed headphones for a refund,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t023,"Return request: order #ZX9 – headphones, unopened, want money back.",refund_request,refund_request,Customer explicitly requests money back for a returned item,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t024,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,Customer asks where their refund is after returning an item,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t025,"Hey, I sent back order #A12345 two weeks ago and my card still hasn't shown the refund. What's the hold‑up?",refund_request,refund_request,Customer reports a returned order and requests the pending refund.,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t026,"Good afternoon, I returned the product from order 98765 about fourteen days ago. Could you please check the status of my refund? It hasn't appeared on my account yet.",refund_request,refund_request,Customer asks to check refund status for a returned product,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t027,Refund still missing after I shipped back the item (order #Z9X8) two weeks ago. Need this sorted ASAP.,refund_request,refund_request,Customer reports a missing refund after returning an item and requests it be resolved.,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t028,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,Customer explicitly asks to cancel the order and refund the card,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t029,"Hey, I’m done with order #45219 – please pull the plug and put the money back on my credit card ASAP. Thanks.",refund_request,refund_request,Customer explicitly requests a refund for the order,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t030,Kindly cancel order 77364 and process a refund to my card. I no longer require the item.,refund_request,refund_request,Customer explicitly asks to cancel the order and refund the payment,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t031,Cancel order 99021. Refund my card.,refund_request,refund_request,Customer explicitly requests a refund for the order,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t032,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,Customer requests a refund for the price difference charged,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
